HMDB	KEGG
HMDB01256	C00750
HMDB01257	C00315
HMDB01259	C00232
HMDB01261	C03263
HMDB01262	C01835
HMDB01263	C01475
HMDB01264	C00425
HMDB01265	C02985
HMDB01266	C08356
HMDB01268	C01061
HMDB01269	C00683
HMDB01270	C00236
HMDB01271	C01168
HMDB01273	C00044
HMDB01274	C00363
HMDB01275	C00100
HMDB01276	C00612
HMDB01278	C03428
HMDB01280	C03824
HMDB01282	C20190
HMDB01285	C00341
HMDB01286	C05108
HMDB01292	C06257
HMDB01294	C01159
HMDB01295	C07343
HMDB01296	C02052
HMDB01299	C04582
HMDB01301	C04322
HMDB01302	C00150
HMDB01303	C00038
HMDB01304	C00390
HMDB01308	C04376
HMDB01310	C00133
HMDB01311	C00256
HMDB01313	C03546
HMDB01314	C00942
HMDB01315	C06262
HMDB01316	C00345
HMDB01318	C02373
HMDB01319	C00627
HMDB01320	C04654
HMDB01321	C00279
HMDB01322	C00510
HMDB01325	C03793
HMDB01327	C17061
HMDB01328	C00842
HMDB01330	C04409
HMDB01333	C19610
HMDB01335	C01312
HMDB01336	C01161
HMDB01337	C00909
HMDB01338	C00154
HMDB01339	C00527
HMDB01340	C01261
HMDB01341	C00008
HMDB01342	C00459
HMDB01343	C01107
HMDB01345	C01149
HMDB01346	C01222
HMDB01347	C00129
HMDB01348	C00550
HMDB01349	C01529
HMDB01351	C00672
HMDB01352	C00168
HMDB01353	C01216
HMDB01354	C00445
HMDB01355	C06604
HMDB01356	C04405
HMDB01358	C00376
HMDB01359	C02060
HMDB01361	C00237
HMDB01362	C00282
HMDB01364	C03483
HMDB01366	C15587
HMDB01367	C04256
HMDB01368	C00957
HMDB01369	C04281
HMDB01370	C00666
HMDB01371	C00697
HMDB01372	C00068
HMDB01373	C00882
HMDB01374	C01794
HMDB01375	C00356
HMDB01376	C04442
HMDB01377	C00007
HMDB01381	C00427
HMDB01382	C07457
HMDB01383	C01120
HMDB01385	C05394
HMDB01387	C03711
HMDB01388	C06427
HMDB01389	C01598
HMDB01391	C14830
HMDB01392	C00568
HMDB01394	C00374
HMDB01396	C00440
HMDB01397	C00144
HMDB01398	C01502
HMDB01399	C11907
HMDB01401	C00092
HMDB01403	C00696
HMDB01405	C05527
HMDB01406	C00153
HMDB01409	C00365
HMDB01410	C05255
HMDB01412	C00921
HMDB01413	C00307
HMDB01414	C00134
HMDB01416	C01134
HMDB01419	C13550
HMDB01422	C01259
HMDB01423	C00010
HMDB01425	C02538
HMDB01426	C00067
HMDB01429	C00009
HMDB01430	C01693
HMDB01431	C00534
HMDB01432	C00179
HMDB01439	C04734
HMDB01440	C00286
HMDB01441	C05649
HMDB01442	C04741
HMDB01443	C05339
HMDB01445	C04500
HMDB01448	C00059
HMDB01449	C13712
HMDB01451	C16241
HMDB01452	C02198
HMDB01453	C01755
HMDB01455	C15484
HMDB01457	C05454
HMDB01458	C01893
HMDB01460	C06607
HMDB01466	C01183
HMDB01469	C03543
HMDB01470	C08279
HMDB01471	C11825
HMDB01473	C00111
HMDB01476	C00632
HMDB01480	C02934
HMDB01481	C01075
HMDB01483	C02314
HMDB01484	C00332
HMDB01485	C01387
HMDB01487	C00004
HMDB01488	C00253
HMDB01489	C00620
HMDB01490	C05594
HMDB01491	C00018
HMDB01493	C03069
HMDB01494	C00227
HMDB01495	C01449
HMDB01496	C03594
HMDB01498	C01245
HMDB01499	C03117
HMDB01504	C06605
HMDB01505	C01407
HMDB01508	C00206
HMDB01509	C04853
HMDB01510	C06860
HMDB01511	C02305
HMDB01512	C03028
HMDB01513	C00621
HMDB01514	C00329
HMDB01517	C04677
HMDB01520	C00061
HMDB01521	C02593
HMDB01522	C02294
HMDB01525	C01589
HMDB01526	C01136
HMDB01527	C08276
HMDB01530	C00644
HMDB01532	C00131
HMDB01533	C00143
HMDB01534	C00664
HMDB01536	C00488
HMDB01539	C03626
HMDB01542	C00611
HMDB01545	C00250
HMDB01546	C00112
HMDB01547	C02140
HMDB01548	C00117
HMDB01550	C01031
HMDB01551	C00517
HMDB01552	C00940
HMDB01553	C01180
HMDB01554	C00655
HMDB01555	C00647
HMDB01557	C01007
HMDB01562	C03479
HMDB01563	C04545
HMDB01564	C00570
HMDB01565	C00588
HMDB01566	C02230
HMDB01569	C12978
HMDB01570	C00364
HMDB01586	C00103
HMDB01587	C02137
HMDB01644	C00310
HMDB01645	C01933
HMDB01659	C00207
HMDB01713	C12621
HMDB01721	C01005
HMDB01830	C00410
HMDB01833	D02527
HMDB01842	C17349
HMDB01844	C08645
HMDB01846	C00101
HMDB01847	C07481
HMDB01848	C07049
HMDB01849	C07407
HMDB01850	C07188
HMDB01851	C00532
HMDB01852	C00777
HMDB01856	C00230
HMDB01858	C01468
HMDB01859	C06804
HMDB01860	C13747
HMDB01864	C00902
HMDB01865	C06255
HMDB01866	C05580
HMDB01867	D06890
HMDB01870	C00180
HMDB01871	C09727
HMDB01873	C02632
HMDB01874	C00451
HMDB01875	C00132
HMDB01877	C07185
HMDB01878	C09908
HMDB01879	C01405
HMDB01881	C00583
HMDB01882	C00184
HMDB01886	C16357
HMDB01888	C03134
HMDB01889	C07130
HMDB01890	C06809
HMDB01892	C05377
HMDB01893	C02477
HMDB01894	C11045
HMDB01895	C00805
HMDB01898	C05790
HMDB01900	C02674
HMDB01901	C02378
HMDB01903	C01673
HMDB01906	C03665
HMDB01913	C07324
HMDB01915	C07752
HMDB01916	C06838
HMDB01917	C06956
HMDB01919	C00025
HMDB01920	D00848
HMDB01921	C07151
HMDB01922	C06922
HMDB01923	C01517
HMDB01924	C13235
HMDB01925	C01588
HMDB01926	C07534
HMDB01927	C06960
HMDB01928	C07041
HMDB01929	C07660
HMDB01930	D00673
HMDB01932	C07202
HMDB01933	C07017
HMDB01934	C00745
HMDB01935	C01541
HMDB01937	C11770
HMDB01938	D00362
HMDB01939	C07119
HMDB01940	D00386
HMDB01941	C06857
HMDB01942	C02343
HMDB01943	C02765
HMDB01944	C06905
HMDB01964	C01481
HMDB01965	C14811
HMDB01967	C00011
HMDB01977	C14809
HMDB01978	C01956
HMDB01980	C00840
HMDB01982	C16360
HMDB01983	C05198
HMDB01984	D00321
HMDB01989	C00753
HMDB01991	C16353
HMDB01993	C05455
HMDB01999	C06428
HMDB02000	C08322
HMDB02003	C08320
HMDB02004	C08309
HMDB02006	C03401
HMDB02009	C00877
HMDB02012	C00399
HMDB02013	C02862
HMDB02017	C02455
HMDB02019	C01389
HMDB02022	C03838
HMDB02024	C02835
HMDB02031	C05100
HMDB02032	C20155
HMDB02035	C00811
HMDB02036	C01485
HMDB02038	C02728
HMDB02039	C11118
HMDB02048	C01467
HMDB02050	C00975
HMDB02052	C01036
HMDB02054	C03345
HMDB02055	C01542
HMDB02057	C07297
HMDB02059	C08317
HMDB02061	C00518
HMDB02064	C02714
HMDB02065	C04244
HMDB02068	C08316
HMDB02070	C01127
HMDB02077	C01486
HMDB02078	C01417
HMDB02080	C08363
HMDB02084	C00177
HMDB02085	C10833
HMDB02086	C00194
HMDB02091	C03033
HMDB02092	C00490
HMDB02096	C11284
HMDB02099	C08434
HMDB02100	C16512
HMDB02103	C06340
HMDB02104	C01165
HMDB02107	C01606
HMDB02111	C00001
HMDB02113	C04397
HMDB02117	C19670
HMDB02121	C09069
HMDB02122	C06476
HMDB02123	C16361
HMDB02124	C01477
HMDB02127	C05823
HMDB02134	C01888
HMDB02140	D01211
HMDB02142	C00009
HMDB02151	C11143
HMDB02152	C02110
HMDB02158	C05768
HMDB02159	C04644
HMDB02166	C03284
HMDB02168	C00704
HMDB02170	C05989
HMDB02172	C03413
HMDB02174	C05776
HMDB02175	C06263
HMDB02176	C18319
HMDB02178	C05448
HMDB02179	C16845
HMDB02181	C05413
HMDB02182	C07441
HMDB02183	C06429
HMDB02189	C01029
HMDB02190	C14768
HMDB02196	C15471
HMDB02197	C05457
HMDB02199	C01744
HMDB02200	C05952
HMDB02204	C08580
HMDB02205	C16511
HMDB02206	C05924
HMDB02209	C14131
HMDB02211	C05766
HMDB02212	C06425
HMDB02214	C06577
HMDB02215	C00268
HMDB02217	C06002
HMDB02224	C03592
HMDB02226	C16527
HMDB02227	C06866
HMDB02231	C16526
HMDB02232	C14769
HMDB02234	C04282
HMDB02243	C10164
HMDB02252	C00512
HMDB02255	C01213
HMDB02262	C02530
HMDB02265	C14775
HMDB02268	C08590
HMDB02269	C10443
HMDB02272	C05414
HMDB02273	C03079
HMDB02274	C06453
HMDB02275	C04874
HMDB02281	C15522
HMDB02290	C06269
HMDB02299	C01205
HMDB02303	C00580
HMDB02305	C04640
HMDB02306	C01327
HMDB02307	C00894
HMDB02308	C08230
HMDB02310	C00683
HMDB02311	C14773
HMDB02314	C14774
HMDB02320	C05132
HMDB02322	C01672
HMDB02326	C10205
HMDB02329	C00209
HMDB02331	C05131
HMDB02332	C05527
HMDB02333	C10472
HMDB02336	C08996
HMDB02338	C00814
HMDB02343	C14772
HMDB02344	C14748
HMDB02346	C00827
HMDB02350	D01924
