R-MMU-1306979	Hbegf	n/a
R-MMU-1306979	Nrg4	n/a
R-MMU-1306979	Pik3ca	n/a
R-MMU-1306979	Pik3r1	n/a
R-MMU-1307963	Fgf15	n/a
R-MMU-1307963	Klb	n/a
R-MMU-1358789	Rnf41	n/a
R-MMU-1358790	Erbb3	n/a
R-MMU-1358790	Rnf41	n/a
R-MMU-1358792	Erbb2	n/a
R-MMU-1358792	Erbb3	n/a
R-MMU-1358792	Rnf41	n/a
R-MMU-1358795	Rnf41	n/a
R-MMU-1358795	Usp8	n/a
R-MMU-1362270	Dyrk1a	n/a
R-MMU-1362270	Lin37	n/a
R-MMU-1362270	Lin52	n/a
R-MMU-1362270	Lin54	n/a
R-MMU-1362270	Lin9	n/a
R-MMU-1362408	C00018	n/a
R-MMU-1362408	C00023	n/a
R-MMU-1362408	C00041	n/a
R-MMU-1362408	C00097	n/a
R-MMU-1362408	Fdx1	n/a
R-MMU-1362408	Fdx1l	n/a
R-MMU-1362408	Fxn	n/a
R-MMU-1362408	Iscu	n/a
R-MMU-1362408	Lyrm4	n/a
R-MMU-1362408	Nfs1	n/a
R-MMU-1362412	C00023	n/a
R-MMU-1362412	Slc25a28	n/a
R-MMU-1362412	Slc25a37	n/a
R-MMU-1363274	Ppp2ca	n/a
R-MMU-1363274	Ppp2cb	n/a
R-MMU-1363274	Ppp2r1a	n/a
R-MMU-1363274	Ppp2r1b	n/a
R-MMU-1363274	Ppp2r2a	n/a
R-MMU-1363274	Rbl1	n/a
R-MMU-1363331	Cul1	n/a
R-MMU-1363331	Rbl2	n/a
R-MMU-1363331	Skp1a	n/a
R-MMU-1363331	Skp2	n/a
R-MMU-1369028	Abca2	n/a
R-MMU-1369028	C00187	n/a
R-MMU-1369065	Abcb6	n/a
R-MMU-139854	C01245	n/a
R-MMU-139854	Itpr1	n/a
R-MMU-139854	Itpr2	n/a
R-MMU-139854	Itpr3	n/a
R-MMU-139855	P2rx4	n/a
R-MMU-139855	P2rx5	n/a
R-MMU-139855	P2rx7	n/a
R-MMU-139898	Bid	n/a
